"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"08:46:57.2992226 AM","DllHost.exe","27228","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sri Lanka Standard Time\Std","SUCCESS","Type: REG_SZ, Length: 48, Data: Sri Lanka Standard Time"
"08:46:57.2992413 AM","DllHost.exe","27228","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sri Lanka Standard Time","SUCCESS",""
"08:46:57.2992588 AM","DllHost.exe","27228","RegEnumKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones","SUCCESS","Index: 108, Name: Sudan Standard Time"
"08:46:57.2992721 AM","DllHost.exe","27228","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"08:46:57.2992833 AM","DllHost.exe","27228","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sudan Standard Time","SUCCESS","Desired Access: Read/Write"
"08:46:57.2993018 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Sudan Standard Time\MUI_Display","SUCCESS","Type: REG_SZ, Length: 34, Data: @tzres.dll,-2890"
"08:46:57.2993202 AM","DllHost.exe","27228","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\MUI\StringCacheSettings","REPARSE","Desired Access: Query Value"
"08:46:57.2993328 AM","DllHost.exe","27228","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS","Desired Access: Query Value"
"08:46:57.2993450 AM","DllHost.exe","27228","RegQueryValue","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings\StringCacheGeneration","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4373"
"08:46:57.2993563 AM","DllHost.exe","27228","RegCloseKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS",""
"08:46:57.2993696 AM","DllHost.exe","27228","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"08:46:57.2993837 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","REPARSE","Desired Access: Read/Write"
"08:46:57.2993948 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS","Desired Access: Read/Write"
"08:46:57.2994073 AM","DllHost.exe","27228","RegCloseKey","HKCU","SUCCESS",""
"08:46:57.2996337 AM","DllHost.exe","27228","RegQueryValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-2890","NAME NOT FOUND","Length: 532"
"08:46:57.3000427 AM","DllHost.exe","27228","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS","Desired Access: Read"
"08:46:57.3000587 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
